,name,district,acres,Location 1,Latitude,Longitude
49,Cotwood Place Traffic Island,Druid Hill,0.1284,"3401 Cotwood Pl
Baltimore, MD
",39.3289375,-76.6566346
50,Cumberland & Carey Park,Gwynns Falls,1.065,"1641 Carey St
Baltimore, MD
",39.3080612,-76.641786
51,Curtis Bay Park,Carroll,1.909,"4416 Curtis Ave
Baltimore, MD
",39.225723,-76.587653
52,Cylburn Arboretum,Druid Hill,241.23,"4915 Greenspring Ave
Baltimore, MD
",39.353009,-76.6544
53,Daisy Field,Gwynns Falls,28.9,"301 Hilton St
Baltimore, MD
",39.2807798,-76.6721566
54,Desoto Park,Carroll,6.104,"1600 Desoto Rd
Baltimore, MD
",39.266041,-76.65824
55,Dewees Park,Clifton,13.2904,"5501 Ivanhoe Ave
Baltimore, MD
",39.3563815,-76.6039779
56,Douglas R. Morrison Park,Druid Hill,0.0727,"1719 Park Ave
Baltimore, MD
",39.309923,-76.6270909
57,Easterwood Park,Gwynns Falls,7.2608,"1522 Bentalou St
Baltimore, MD
",39.305316,-76.654735
58,Eden & Eager Park,Patterson,0.6045,"911 Eden St
Baltimore, MD
",39.3011949,-76.5987734
59,Edgecombe Park,Druid Hill,5.27,"2601 Edgecombe Cir
Baltimore, MD
",39.3430861,-76.6597155
60,Edgewood / Lyndhurst Park,Gwynns Falls,6.98,"835 Allendale St
Baltimore, MD
",39.297493,-76.6782338
61,Elgin Park,Gwynns Falls,1.4275,"2821 Gwynns Falls Pkwy
Baltimore, MD
",39.314479,-76.6651197
62,Ellwood Ave Park,Patterson,5.1488,"420 Ellwood Ave
Baltimore, MD
",39.2871904,-76.5730082
63,Elm Park,Druid Hill,0.228,"3416 Elm Ave
Baltimore, MD
",39.329171,-76.631366
64,Elmley Avenue Park,Clifton,1.41,"3347 Cliftmont Ave
Baltimore, MD
",39.317799,-76.571351
65,Eutaw Place Median Park,Druid Hill,5.4428,"1200 2000 Eutaw Pl
Baltimore, MD
",39.309517,-76.633646
66,Evesham Avenue Park,Clifton,3.8168,"Northern Pkwy
Baltimore, MD
",39.3557104,-76.6656161
67,Farring Baybrook Park,Carroll,88.1188,"4501 Fairing Ct
Baltimore, MD
",39.2243067,-76.5972413
68,Fawcett & Hampden Park,Druid Hill,0.0862,"401 Fawcett St
Baltimore, MD
",39.315444,-76.6221845
69,Fayette &  I 83 Park,Carroll,0.483,"101 Frederick St
Baltimore, MD
",39.2877416,-76.6078954
70,Federal Hill Park,Carroll,9.63,"300 Warren Ave
Baltimore, MD
",39.2789918,-76.6097767
71,Ferry Bar Park,Carroll,0.378,"2700 Light St
Baltimore, MD
",39.2675394,-76.6119782
72,F. Scott Fitzgerald Park,Druid Hill,0.2284,"1627 Bolton St
Baltimore, MD
",39.308543,-76.627487
73,Florence Cummings Park,Carroll,3.79,"2501 Maisel St
Baltimore, MD
",39.2634415,-76.639337
74,Flowerton Road Park,Gwynns Falls,0.2903,"4249 Flowerton Rd
Baltimore, MD
",39.297814,-76.688373
75,Forest Park Golf Course,Gwynns Falls,176.015,"2900 Hillsdale Rd
Baltimore, MD
",39.321033,-76.6999217
