,LicenseClass,SubClass,LicenseNumber,LicenseDate,LicenseEndDate,LicenseYear,LicenseFee,CertificateNumber,LicenseStatus,LicenseeFirstName,LicenseeLastName,TradeName,CorpName,EstablishmentDesc,DayPerWeek,Description,AddrStreet,AddrZip,Location 1,Latitude,Longitude
410,LBD7,BWL,332,05/01/2015,04/30/2016,2015,$1320.00,908,Renewed,MITCHELL,PRESSMAN,CHESAPEAKE WINE COMPANY,"PRESSMAN BROTHERS, LLC",Tavern,7 days,"Beer, Wine, & Liquor",2400 BOSTON STREET SUITE 112,21224,"2400 BOSTON STREET SUITE 112
21224
(39.28149511700008, -76.58168437299997)",39.281495117,-76.581684373
411,LA,BWL,157,05/01/2015,04/30/2016,2015,$858.00,823,Renewed,JAE IN,LEE,CHESLEY LIQUORS,NEW CHESLEY LIQUORS LLC,Package goods only,6 days,"Beer, Wine, & Liquor",6902-02A HARFORD ROAD,21234,"6902-02A HARFORD ROAD
21234
(39.36769988800006, -76.54814520999997)",39.367699888,-76.54814521
412,LBD7,BWL,224,05/01/2015,04/30/2016,2015,$1320.00,625,Renewed,BRADLEY,SIMMONS,CHEZ JOEY,"CHEZ JOEY, LLC",Tavern,7 days,"Beer, Wine, & Liquor",415 BALTIMORE STREET EAST,21202,"415 BALTIMORE STREET EAST
21202
(39.289732780000065, -76.60952004499995)",39.28973278,-76.609520045
413,LBD7,BWL,224,05/01/2015,04/30/2016,2015,$1320.00,625,Renewed,ERNEST R.,HATMAKER,CHEZ JOEY,"CHEZ JOEY, LLC",Tavern,7 days,"Beer, Wine, & Liquor",415 BALTIMORE STREET EAST,21202,"415 BALTIMORE STREET EAST
21202
(39.289732780000065, -76.60952004499995)",39.28973278,-76.609520045
414,AE,AE,19,07/01/2015,06/30/2016,2015,$1000.00,1290,Renewed,BRADLEY ,SIMMONS,CHEZ JOEY,"CHEZ JOEY, LLC",Adult,,,415 BALTIMORE STREET EAST,21202,"415 BALTIMORE STREET EAST
21202
(39.289732780000065, -76.60952004499995)",39.28973278,-76.609520045
415,AE,AE,19,07/01/2015,06/30/2016,2015,$1000.00,1290,Renewed,ERNEST R.,HATMAKER,CHEZ JOEY,"CHEZ JOEY, LLC",Adult,,,415 BALTIMORE STREET EAST,21202,"415 BALTIMORE STREET EAST
21202
(39.289732780000065, -76.60952004499995)",39.28973278,-76.609520045
416,LA,BWL,220,05/01/2015,04/30/2016,2015,$858.00,1194,Renewed,CHARLES W,"WHITE, JR.",CHEZ'S GROCERY & LIQUORS,,Package goods only,6 days,"Beer, Wine, & Liquor",406 21ST STREET EAST,21218,"406 21ST STREET EAST
21218
(39.31351818100006, -76.61063199699998)",39.313518181,-76.610631997
417,LB,BWL,114,05/01/2015,04/30/2016,2015,$1800.00,537,Renewed,BRYAN L.,CHIAPPARELLI,CHIAPPARELLI'S RESTAURANT,"CHIAPPARELLI'S, INC.",Restaurant,7 days,"Beer, Wine, & Liquor",237 HIGH STREET SOUTH,21202,"237 HIGH STREET SOUTH
21202
(39.28648795400005, -76.60190230999996)",39.286487954,-76.60190231
418,LB,BWL,114,05/01/2015,04/30/2016,2015,$1800.00,537,Renewed,MARY K.,CHIAPPARELLI,CHIAPPARELLI'S RESTAURANT,"CHIAPPARELLI'S, INC.",Restaurant,7 days,"Beer, Wine, & Liquor",237 HIGH STREET SOUTH,21202,"237 HIGH STREET SOUTH
21202
(39.28648795400005, -76.60190230999996)",39.286487954,-76.60190231
419,LB,BWL,267,05/01/2015,04/30/2016,2015,$1520.00,1101,Renewed,TOM,CHIU,CHIU'S SUSHI,"CHIU'S SUSHI, INC.",Restaurant,7 days,"Beer, Wine, & Liquor",608 EXETER STREET SOUTH,21202,"608 EXETER STREET SOUTH
21202
(39.284082445000024, -76.60029521699994)",39.284082445,-76.600295217
420,WB,BW,13,05/01/2015,04/30/2016,2015,$165.00,956,Renewed,PATACHAYA,BANKS,CHIYO SUSHI,"T AND M FOOD SERVICE, LLC",Restaurant License,7 days,Beer & Light Wine,1619-21 SULGRAVE AVENUE,21209,"1619-21 SULGRAVE AVENUE
21209
(39.367293791000066, -76.65226562199996)",39.367293791,-76.652265622
421,WB,BW,13,05/01/2015,04/30/2016,2015,$165.00,956,Renewed,SETIAWAN ,TAN,CHIYO SUSHI,"T AND M FOOD SERVICE, LLC",Restaurant License,7 days,Beer & Light Wine,1619-21 SULGRAVE AVENUE,21209,"1619-21 SULGRAVE AVENUE
21209
(39.367293791000066, -76.65226562199996)",39.367293791,-76.652265622
422,WB,BW,1,05/01/2015,04/30/2016,2015,$165.00,31,Renewed,BOK,LEE,CHOI'S CHICKEN & TROUT,"SUNG & SUE, INC.",Restaurant License,7 days,Beer & Light Wine,3436 ANNAPOLIS ROAD,21227,"3436 ANNAPOLIS ROAD
21227
(39.24770094000007, -76.64013628699996)",39.24770094,-76.640136287
423,WB,BW,1,05/01/2015,04/30/2016,2015,$165.00,31,Renewed,SUNG TAI,CHOI,CHOI'S CHICKEN & TROUT,"SUNG & SUE, INC.",Restaurant License,7 days,Beer & Light Wine,3436 ANNAPOLIS ROAD,21227,"3436 ANNAPOLIS ROAD
21227
(39.24770094000007, -76.64013628699996)",39.24770094,-76.640136287
424,LBD7,BWL,356,05/01/2015,04/30/2016,2015,$1320.00,991,Renewed,RAJWANT ,KAUR,CHRIS LIQUOR & GRILL,"1269 WASHINGTON, INC.",Tavern,7 days,"Beer, Wine, & Liquor",1269 WASHINGTON BOULEVARD,21230,"1269 WASHINGTON BOULEVARD
21230
(39.28081757500007, -76.63515255399994)",39.280817575,-76.635152554
425,LBD7,BWL,356,05/01/2015,04/30/2016,2015,$1320.00,991,Renewed,SUMRIT,DEDDECHANUKUL,CHRIS LIQUOR & GRILL,"1269 WASHINGTON, INC.",Tavern,7 days,"Beer, Wine, & Liquor",1269 WASHINGTON BOULEVARD,21230,"1269 WASHINGTON BOULEVARD
21230
(39.28081757500007, -76.63515255399994)",39.280817575,-76.635152554
426,LBD7,BWL,192,05/01/2015,04/30/2016,2015,$1320.00,520,Renewed,EDNA,MONTGOMERY,CHUCK'S NEW JOHNSON'S LOUNGE,"MONT, INC.",Tavern,7 days,"Beer, Wine, & Liquor",546 PULASKI STREET NORTH,21223,"546 PULASKI STREET NORTH
21223
(39.29469796200004, -76.65045600899998)",39.294697962,-76.650456009
427,LB,BWL,81,05/01/2015,04/30/2016,2015,$1320.00,434,Renewed,ANTHONY J,"GAMBINO, JR.",CIAO BELLA RESTAURANT,"D.E.A.K., INC.",Restaurant,7 days,"Beer, Wine, & Liquor",232-36 HIGH STREET SOUTH,21202,"232-36 HIGH STREET SOUTH
21202
(39.28678059400005, -76.60215855499996)",39.286780594,-76.602158555
428,LB,BWL,156,05/01/2015,04/30/2016,2015,$2000.00,767,Renewed,JOHN A.,FOREMAN,CINGHIALE,"BIGBROCO, LLC",Restaurant,7 days,"Beer, Wine, & Liquor",822 LANCASTER STREET,21202,"822 LANCASTER STREET
21202
(39.282406421000076, -76.60082385199996)",39.282406421,-76.600823852
429,LBD7,BWL,19,05/01/2015,04/30/2016,2015,$1320.00,52,Renewed,DOLORES,REICHER,CIRCUS BAR,"SILVERLUD, INC.",Tavern,7 days,"Beer, Wine, & Liquor",427 BALTIMORE STREET EAST,21202,"427 BALTIMORE STREET EAST
21202
(39.28974315000005, -76.60912942099998)",39.28974315,-76.609129421
430,LBD7,BWL,19,05/01/2015,04/30/2016,2015,$1320.00,52,Renewed,SHELLEY,GORDON,CIRCUS BAR,"SILVERLUD, INC.",Tavern,7 days,"Beer, Wine, & Liquor",427 BALTIMORE STREET EAST,21202,"427 BALTIMORE STREET EAST
21202
(39.28974315000005, -76.60912942099998)",39.28974315,-76.609129421
431,AE,AE,9,07/01/2015,06/30/2016,2015,$1000.00,1279,Renewed,DOLORES,REICHER,CIRCUS BAR,"SILVERLUD, INC.",Adult,,,427 BALTIMORE STREET EAST,21202,"427 BALTIMORE STREET EAST
21202
(39.28974315000005, -76.60912942099998)",39.28974315,-76.609129421
432,AE,AE,9,07/01/2015,06/30/2016,2015,$1000.00,1279,Renewed,SHELLEY,GORDON,CIRCUS BAR,"SILVERLUD, INC.",Adult,,,427 BALTIMORE STREET EAST,21202,"427 BALTIMORE STREET EAST
21202
(39.28974315000005, -76.60912942099998)",39.28974315,-76.609129421
433,LB,BWL,219,05/01/2015,04/30/2016,2015,$1520.00,974,Renewed,GINO V.,CARDINALE,CITY CAFE & CITY BAR,"CITY CAFE, INC.",Restaurant,7 days,"Beer, Wine, & Liquor",1001 CATHEDRAL STREET,21201,"1001 CATHEDRAL STREET
21201
(39.30106086200004, -76.61759753999996)",39.301060862,-76.61759754
434,LBD7,BWL,339,05/01/2015,04/30/2016,2015,$1320.00,922,Renewed,RICHARD,SOUCY,CITY LIMITS SPORTS BAR,"1700 EAST FORT AVENUE, LLC",Tavern,7 days,"Beer, Wine, & Liquor",1700-04 FORT AVENUE EAST,21230,"1700-04 FORT AVENUE EAST
21230
(39.26804957500008, -76.59093771399995)",39.268049575,-76.590937714
435,LBD7,BWL,339,05/01/2015,04/30/2016,2015,$1320.00,922,Renewed,RONALD,PROCHOREN,CITY LIMITS SPORTS BAR,"1700 EAST FORT AVENUE, LLC",Tavern,7 days,"Beer, Wine, & Liquor",1700-04 FORT AVENUE EAST,21230,"1700-04 FORT AVENUE EAST
21230
(39.26804957500008, -76.59093771399995)",39.268049575,-76.590937714
436,LBD7,BWL,134,05/01/2015,04/30/2016,2015,$1320.00,367,Renewed,DENNIS M.,CLARKE,CLADDAGH PUB,"DVML, INC.",Tavern,7 days,"Beer, Wine, & Liquor",2918 O'DONNELL STREET,21224,"2918 O'DONNELL STREET
21224
(39.28039814500005, -76.57480179399994)",39.280398145,-76.574801794
437,LBD7,BWL,134,05/01/2015,04/30/2016,2015,$1320.00,367,Renewed,MICHAEL,CLARKE,CLADDAGH PUB,"DVML, INC.",Tavern,7 days,"Beer, Wine, & Liquor",2918 O'DONNELL STREET,21224,"2918 O'DONNELL STREET
21224
(39.28039814500005, -76.57480179399994)",39.280398145,-76.574801794
438,LBD7,BWL,134,05/01/2015,04/30/2016,2015,$1320.00,367,Renewed,VIVIAN M.,CLARKE,CLADDAGH PUB,"DVML, INC.",Tavern,7 days,"Beer, Wine, & Liquor",2918 O'DONNELL STREET,21224,"2918 O'DONNELL STREET
21224
(39.28039814500005, -76.57480179399994)",39.280398145,-76.574801794
439,LB,BWL,5,05/01/2015,04/30/2016,2015,$1320.00,22,Renewed,KATHLEEN,LYON,CLARK BURGER,YORK ROAD CINEMA LLC,Restaurant,7 days,"Beer, Wine, & Liquor",5904 YORK RD,21212,"5904 YORK RD
21212
(39.36342235400008, -76.60998556699997)",39.363422354,-76.609985567
440,LD,BWL,61,05/01/2015,04/30/2016,2015,$825.00,1262,Renewed,MATTHEW ,PIERCE,CLAVEL,"HARLAN, INC",Tavern,6 days,"Beer, Wine, & Liquor",225-27 23RD STREET WEST,21211,"225-27 23RD STREET WEST
21211
(39.31510205100005, -76.62031995999996)",39.315102051,-76.62031996
441,LB,BWL,310,05/01/2015,04/30/2016,2015,$1820.00,1221,Renewed,CRISTIN,DADANT,CLEMENTINE,DANG GOOD FOOD INC,Restaurant,7 days,"Beer, Wine, & Liquor",5402-04 HARFORD ROAD,21214,"5402-04 HARFORD ROAD
21214
(39.351290008000035, -76.56233532899995)",39.351290008,-76.562335329
442,LM-G,BWL,3,05/01/2015,04/30/2016,2015,$600.00,606,Renewed,CHARLES M. ,THOMAS,CLIFTON PARK GOLF COURSE,BALTIMORE MUNICIPAL GOLF CORPORATION,Municipal Golf Course,,"Beer, Wine, & Liquor",2801 HARFORD ROAD,21213,"2801 HARFORD ROAD
21213
(39.31010685900003, -76.59998189499998)",39.310106859,-76.599981895
443,LM-G,BWL,3,05/01/2015,04/30/2016,2015,$600.00,606,Renewed,JONATHON W.,LADD,CLIFTON PARK GOLF COURSE,BALTIMORE MUNICIPAL GOLF CORPORATION,Municipal Golf Course,,"Beer, Wine, & Liquor",2801 HARFORD ROAD,21213,"2801 HARFORD ROAD
21213
(39.31010685900003, -76.59998189499998)",39.310106859,-76.599981895
444,LM-G,BWL,3,05/01/2015,04/30/2016,2015,$600.00,606,Renewed,RUSSELL J.,BATEMAN,CLIFTON PARK GOLF COURSE,BALTIMORE MUNICIPAL GOLF CORPORATION,Municipal Golf Course,,"Beer, Wine, & Liquor",2801 HARFORD ROAD,21213,"2801 HARFORD ROAD
21213
(39.31010685900003, -76.59998189499998)",39.310106859,-76.599981895
445,LC,BWL,15,05/01/2015,04/30/2016,2015,$550.00,294,Renewed,Amelia ,Reitz,CLIFTON PLEASURE CLUB,"CLIFTON PLEASURE CLUB, INC.",Non-Profits only,7 days,"Beer, Wine, & Liquor",2803 GRINDON AVENUE,21214,"2803 GRINDON AVENUE
21214
(39.34372179200005, -76.57339716199994)",39.343721792,-76.573397162
446,LC,BWL,15,05/01/2015,04/30/2016,2015,$550.00,294,Renewed,Emily,Densmore,CLIFTON PLEASURE CLUB,"CLIFTON PLEASURE CLUB, INC.",Non-Profits only,7 days,"Beer, Wine, & Liquor",2803 GRINDON AVENUE,21214,"2803 GRINDON AVENUE
21214
(39.34372179200005, -76.57339716199994)",39.343721792,-76.573397162
447,LC,BWL,15,05/01/2015,04/30/2016,2015,$550.00,294,Renewed,Michael,Coffman,CLIFTON PLEASURE CLUB,"CLIFTON PLEASURE CLUB, INC.",Non-Profits only,7 days,"Beer, Wine, & Liquor",2803 GRINDON AVENUE,21214,"2803 GRINDON AVENUE
21214
(39.34372179200005, -76.57339716199994)",39.343721792,-76.573397162
448,WA,BW,13,05/01/2015,04/30/2016,2015,$110.00,302,Renewed,DAE J.,KO,CLIFTVIEW MARKET,"CHIN GOO, INC.",Package goods only,6 days,Beer & Light Wine,1700 CLIFTVIEW AVENUE,21213,"1700 CLIFTVIEW AVENUE
21213
(39.315277715000036, -76.59371073799997)",39.315277715,-76.593710738
449,WA,BW,13,05/01/2015,04/30/2016,2015,$110.00,302,Renewed,KYUNG S.,YOO,CLIFTVIEW MARKET,"CHIN GOO, INC.",Package goods only,6 days,Beer & Light Wine,1700 CLIFTVIEW AVENUE,21213,"1700 CLIFTVIEW AVENUE
21213
(39.315277715000036, -76.59371073799997)",39.315277715,-76.593710738
450,WA,BW,13,05/01/2015,04/30/2016,2015,$110.00,302,Renewed,MYUNG S.,KO,CLIFTVIEW MARKET,"CHIN GOO, INC.",Package goods only,6 days,Beer & Light Wine,1700 CLIFTVIEW AVENUE,21213,"1700 CLIFTVIEW AVENUE
21213
(39.315277715000036, -76.59371073799997)",39.315277715,-76.593710738
451,LB,BWL,233,05/01/2015,04/30/2016,2015,$1320.00,1017,Renewed,JAMIE A.,MAKAROVICH,CLIPPER MILL,"ROBJAM, INC.",Restaurant,7 days,"Beer, Wine, & Liquor",1619 UNION AVENUE,21211,"1619 UNION AVENUE
21211
(39.33196275600005, -76.64134837299997)",39.331962756,-76.641348373
452,LB,BWL,233,05/01/2015,04/30/2016,2015,$1320.00,1017,Renewed,ROBERT M.,MAKAROVICH,CLIPPER MILL,"ROBJAM, INC.",Restaurant,7 days,"Beer, Wine, & Liquor",1619 UNION AVENUE,21211,"1619 UNION AVENUE
21211
(39.33196275600005, -76.64134837299997)",39.331962756,-76.641348373
453,LBD7,BWL,276,05/01/2015,04/30/2016,2015,$1320.00,747,Renewed,JONATHAN,WALLACE,CLUB 2300,"CLUB 2300 SPIRITS, INC",Tavern,7 days,"Beer, Wine, & Liquor",2300 BALTIMORE STREET WEST,21223,"2300 BALTIMORE STREET WEST
21223
(39.28790756500007, -76.65301176999998)",39.287907565,-76.65301177
454,LBD7,BWL,40,05/01/2015,04/30/2016,2015,$1320.00,109,Renewed,RONALD,PERSAUD,CLUB 347,"MVP ENTERTAINMENT, LLC",Tavern,7 days,"Beer, Wine, & Liquor",347 CALVERT STREET NORTH,21202,"347 CALVERT STREET NORTH
21202
(39.294093014000055, -76.61261507399996)",39.294093014,-76.612615074
455,LBD7,BWL,66,05/01/2015,04/30/2016,2015,$1320.00,182,Renewed,GOYA ,CHOI,CLUB 4040 LIQUOR & GROCERY,"CLUB 4040, INC.",Tavern,7 days,"Beer, Wine, & Liquor",2139-43 PENNSYLVANIA AVENUE,21217,"2139-43 PENNSYLVANIA AVENUE
21217
(39.307111716000065, -76.63891229599994)",39.307111716,-76.638912296
456,LBD7,BWL,66,05/01/2015,04/30/2016,2015,$1320.00,182,Renewed,JIN MYUNG,SEO,CLUB 4040 LIQUOR & GROCERY,"CLUB 4040, INC.",Tavern,7 days,"Beer, Wine, & Liquor",2139-43 PENNSYLVANIA AVENUE,21217,"2139-43 PENNSYLVANIA AVENUE
21217
(39.307111716000065, -76.63891229599994)",39.307111716,-76.638912296
457,LBD7,BWL,66,05/01/2015,04/30/2016,2015,$1320.00,182,Renewed,JYONG JA,YUN,CLUB 4040 LIQUOR & GROCERY,"CLUB 4040, INC.",Tavern,7 days,"Beer, Wine, & Liquor",2139-43 PENNSYLVANIA AVENUE,21217,"2139-43 PENNSYLVANIA AVENUE
21217
(39.307111716000065, -76.63891229599994)",39.307111716,-76.638912296
458,LBD7,BWL,324,05/01/2015,04/30/2016,2015,$1320.00,884,Renewed,KEUM NAN,KIM,CLUB BAR,"1609 LAURENS STREET, LLC",Tavern,7 days,"Beer, Wine, & Liquor",1609 LAURENS STREET,21217,"1609 LAURENS STREET
21217
(39.30317299500007, -76.64382923599999)",39.303172995,-76.643829236
459,LBD7,BWL,172,05/01/2015,04/30/2016,2015,$1320.00,478,Renewed,DONALD C.,OWENS,CLUB BUNNS,"MOMBEE TLC, INC.",Tavern,7 days,"Beer, Wine, & Liquor",606-08 LEXINGTON STREET WEST,21201,"606-08 LEXINGTON STREET WEST
21201
(39.291676927000026, -76.62413485499997)",39.291676927,-76.624134855
460,LBD7,BWL,29,05/01/2015,04/30/2016,2015,$1320.00,75,Renewed,JOY,MARTIN (IND&PR),CLUB CHARLES-ZODIAC,"MARTIN & KAHOE, INC.",Tavern,7 days,"Beer, Wine, & Liquor",1724-26 CHARLES STREET NORTH,21201,"1724-26 CHARLES STREET NORTH
21201
(39.309027866000065, -76.61645223399995)",39.309027866,-76.616452234
461,LBD7,BWL,35,05/01/2015,04/30/2016,2015,$1320.00,96,Renewed,ANNIE R.,BUTLER,CLUB CLIMAX,,Tavern,7 days,"Beer, Wine, & Liquor",2432 BALTIMORE STREET WEST,21223,"2432 BALTIMORE STREET WEST
21223
(39.28780344300003, -76.65575277799996)",39.287803443,-76.655752778
462,LBD7,BWL,128,05/01/2015,04/30/2016,2015,$1320.00,345,Renewed,ASHANTI ,JACKSON,CLUB ELDORADO,"ELDORADO LOUNGE, INC.",Tavern,7 days,"Beer, Wine, & Liquor",4100-02 LOMBARD STREET EAST,21224,"4100-02 LOMBARD STREET EAST
21224
(39.29160386600006, -76.56261395199994)",39.291603866,-76.562613952
463,LBD7,BWL,128,05/01/2015,04/30/2016,2015,$1320.00,345,Renewed,ROSALIE  D,JACKSON,CLUB ELDORADO,"ELDORADO LOUNGE, INC.",Tavern,7 days,"Beer, Wine, & Liquor",4100-02 LOMBARD STREET EAST,21224,"4100-02 LOMBARD STREET EAST
21224
(39.29160386600006, -76.56261395199994)",39.291603866,-76.562613952
464,AE,AE,21,07/01/2015,06/30/2016,2015,$1000.00,1294,Renewed,ASHANTI ,JACKSON,CLUB ELDORADO,"ELDORADO LOUNGE, INC.",Adult,,,4100-02 LOMBARD STREET EAST,21224,"4100-02 LOMBARD STREET EAST
21224
(39.29160386600006, -76.56261395199994)",39.291603866,-76.562613952
465,AE,AE,21,07/01/2015,06/30/2016,2015,$1000.00,1294,Renewed,ROSALIE  D,JACKSON,CLUB ELDORADO,"ELDORADO LOUNGE, INC.",Adult,,,4100-02 LOMBARD STREET EAST,21224,"4100-02 LOMBARD STREET EAST
21224
(39.29160386600006, -76.56261395199994)",39.291603866,-76.562613952
466,LBD7,BWL,275,05/01/2015,04/30/2016,2015,$1320.00,744,Renewed,STEVEN J.,KOUGL,CLUB HAREM,"KOUGL, INC.",Tavern,7 days,"Beer, Wine, & Liquor",425 BALTIMORE STREET EAST,21202,"425 BALTIMORE STREET EAST
21202
(39.28974315000005, -76.60921008099996)",39.28974315,-76.609210081
467,AE,AE,3,07/01/2015,06/30/2016,2015,$1000.00,1273,Renewed,STEVEN J.,KOUGL,CLUB HAREM,"KOUGL, INC.",Adult,,,425 BALTIMORE STREET EAST,21202,"425 BALTIMORE STREET EAST
21202
(39.28974315000005, -76.60921008099996)",39.28974315,-76.609210081
468,LA,BWL,60,05/01/2015,04/30/2016,2015,$858.00,234,Renewed,KIM,HAWKINS,CLUB HOUSE,"HOUSE OF CLUBS, INC.",Package goods only,6 days,"Beer, Wine, & Liquor",2102-04 GREENMOUNT AVENUE,21218,"2102-04 GREENMOUNT AVENUE
21218
(39.31366469100004, -76.60954128099996)",39.313664691,-76.609541281
469,LA,BWL,60,05/01/2015,04/30/2016,2015,$858.00,234,Renewed,LEROY A.,HAWKINS,CLUB HOUSE,"HOUSE OF CLUBS, INC.",Package goods only,6 days,"Beer, Wine, & Liquor",2102-04 GREENMOUNT AVENUE,21218,"2102-04 GREENMOUNT AVENUE
21218
(39.31366469100004, -76.60954128099996)",39.313664691,-76.609541281
470,LBD7,BWL,177,05/01/2015,04/30/2016,2015,$1320.00,495,Renewed,CHEATAN,SHARMA,CLUB HOUSE BAR & LIQUOR,"P.N.J., INC",Tavern,7 days,"Beer, Wine, & Liquor",4217 ERDMAN AVENUE,21213,"4217 ERDMAN AVENUE
21213
(39.31323224800008, -76.56753715699995)",39.313232248,-76.567537157
471,LBD7,BWL,177,05/01/2015,04/30/2016,2015,$1320.00,495,Renewed,JATINDER,SINGH,CLUB HOUSE BAR & LIQUOR,"P.N.J., INC",Tavern,7 days,"Beer, Wine, & Liquor",4217 ERDMAN AVENUE,21213,"4217 ERDMAN AVENUE
21213
(39.31323224800008, -76.56753715699995)",39.313232248,-76.567537157
472,LBD7,BWL,180,05/01/2015,04/30/2016,2015,$1320.00,500,Renewed,WINDSOR I,MCDOWELL,CLUB INTERNATIONAL,"CLUB INTERNATIONAL, LLC",Tavern,7 days,"Beer, Wine, & Liquor",2301 BALTIMORE STREET WEST,21223,"2301 BALTIMORE STREET WEST
21223
(39.28783266700003, -76.65381951899997)",39.287832667,-76.653819519
473,LBD7,BWL,355,05/01/2015,04/30/2016,2015,$1320.00,990,Renewed,MEHARI,MENGISTAB,CLUB LUZERNE,"542 LUZERNE, INC.",Tavern,7 days,"Beer, Wine, & Liquor",542 LUZERNE AVENUE NORTH,21205,"542 LUZERNE AVENUE NORTH
21205
(39.297688134000055, -76.58083629399994)",39.297688134,-76.580836294
474,LBD7,BWL,355,05/01/2015,04/30/2016,2015,$1320.00,990,Renewed,MICHAEL E,BALDWIN,CLUB LUZERNE,"542 LUZERNE, INC.",Tavern,7 days,"Beer, Wine, & Liquor",542 LUZERNE AVENUE NORTH,21205,"542 LUZERNE AVENUE NORTH
21205
(39.297688134000055, -76.58083629399994)",39.297688134,-76.580836294
475,LD,BWL,52,05/01/2015,04/30/2016,2015,$825.00,1123,Renewed,NKIAMBI JEAN,LEMA,CLUB OKAPI,"LEMA SYSTEMS, LLC",Tavern,6 days,"Beer, Wine, & Liquor",2219 PRATT STREET WEST,21223,"2219 PRATT STREET WEST
21223
(39.28489319600004, -76.65189866499998)",39.284893196,-76.651898665
476,LBD7,BWL,264,05/01/2015,04/30/2016,2015,$1320.00,719,Renewed,ROSEMARY,GOMEZ,CLUB ORPHEUS,"CLUB MITCHELL, INC.",Tavern,7 days,"Beer, Wine, & Liquor",1001-03 PRATT STREET EAST,21202,"1001-03 PRATT STREET EAST
21202
(39.28795738800005, -76.60139769799997)",39.287957388,-76.601397698
477,LBD7,BWL,264,05/01/2015,04/30/2016,2015,$1320.00,719,Renewed,SEAN M.,THOMPSON,CLUB ORPHEUS,"CLUB MITCHELL, INC.",Tavern,7 days,"Beer, Wine, & Liquor",1001-03 PRATT STREET EAST,21202,"1001-03 PRATT STREET EAST
21202
(39.28795738800005, -76.60139769799997)",39.287957388,-76.601397698
478,LBD7,BWL,17,05/01/2015,04/30/2016,2015,$1320.00,47,Renewed,MYOUNG,OUK KIM,CLUB PARADISE,"KIMSINK ENTERPRISES, INC",Tavern,7 days,"Beer, Wine, & Liquor",1300-02 LAURENS STREET,21217,"1300-02 LAURENS STREET
21217
(39.30338420800007, -76.63907789699994)",39.303384208,-76.639077897
479,LBD7,BWL,22,05/01/2015,04/30/2016,2015,$1320.00,56,Renewed,WILLIAM G. ,"WANTLAND, JR",CLUB PUSSYCAT,"CLUB PUSSYCAT, INC.",Tavern,7 days,"Beer, Wine, & Liquor",411 BALTIMORE STREET EAST,21202,"411 BALTIMORE STREET EAST
21202
(39.28972356200006, -76.60965947099999)",39.289723562,-76.609659471
480,AE,AE,11,07/01/2015,06/30/2016,2015,$1000.00,1281,Renewed,WILLIAM G. ,"WANTLAND, JR",CLUB PUSSYCAT,"CLUB PUSSYCAT, INC.",Adult,,,411 BALTIMORE STREET EAST,21202,"411 BALTIMORE STREET EAST
21202
(39.28972356200006, -76.60965947099999)",39.289723562,-76.609659471
481,LBD7,BWL,344,05/01/2015,04/30/2016,2015,$1320.00,939,Renewed,CHARLES P,STOKES,CLUB RIO,"CHARLES P. STOKES, INC.",Tavern,7 days,"Beer, Wine, & Liquor",1330 POPLAR GROVE STREET,21216,"1330 POPLAR GROVE STREET
21216
(39.303066985000044, -76.66543567199994)",39.303066985,-76.665435672
482,LBD7,BWL,442,05/01/2015,04/30/2016,2015,$1320.00,1269,Renewed,RONNIE ,PLAYER,CLUB THUNDERBIRD,"NEW CLUB THUNDERBIRD, INC",Tavern,7 days,"Beer, Wine, & Liquor",2201 CHASE STREET EAST,21213,"2201 CHASE STREET EAST
21213
(39.303512918000024, -76.58678898099998)",39.303512918,-76.586788981
483,LBD7,BWL,84,05/01/2015,04/30/2016,2015,$1320.00,235,Renewed,EVELYN,CILIPOTE,COACH HOUSE INN,"E.C. FLOSSIE, INC.",Tavern,7 days,"Beer, Wine, & Liquor",6605 BELAIR ROAD,21206,"6605 BELAIR ROAD
21206
(39.35427784600006, -76.53118101299998)",39.354277846,-76.531181013
484,LBD7,BWL,333,05/01/2015,04/30/2016,2015,$1320.00,910,Renewed,RAYMOND,HARCUM,COACH'S RONDEZVOUS,"COACHES LIBATION RONDEZVOUS TAVERN, LLC",Tavern,7 days,"Beer, Wine, & Liquor",134-36 25TH STREET WEST,21218,"134-36 25TH STREET WEST
21218
(39.31779926100006, -76.61924344799996)",39.317799261,-76.619243448
485,LBD7,BWL,403,05/01/2015,04/30/2016,2015,$1320.00,1160,Renewed,JOHN,KLEM,COCKEYED COW SALOON,"900 CAREY, INC.",Tavern,7 days,"Beer, Wine, & Liquor",900 CAREY STREET SOUTH,21223,"900 CAREY STREET SOUTH
21223
(39.28207586700006, -76.63727736099997)",39.282075867,-76.637277361
486,LBD7,BWL,403,05/01/2015,04/30/2016,2015,$1320.00,1160,Renewed,TERRI,BRUSIO,COCKEYED COW SALOON,"900 CAREY, INC.",Tavern,7 days,"Beer, Wine, & Liquor",900 CAREY STREET SOUTH,21223,"900 CAREY STREET SOUTH
21223
(39.28207586700006, -76.63727736099997)",39.282075867,-76.637277361
487,LBD7,BWL,260,05/01/2015,04/30/2016,2015,$1320.00,711,Renewed,STEFAN,POPESCU,COCKEY'S FELLS POINT,"GOUGH STREET LIQUOR, LLC",Tavern,7 days,"Beer, Wine, & Liquor",1901 GOUGH STREET,21231,"1901 GOUGH STREET
21231
(39.28776353000006, -76.59005915699998)",39.28776353,-76.590059157
