,ward,sect,block,lot,propertyAddress,lotSize,cityTax,stateTax,resCode,amountDue,asOfDate,Latitude,Longitude
193319,27,10,5864H,040 ,3200 CEDARHURST ROAD             ,50X101-9         ,$3126.97,$155.79,PRINCIPAL RESIDENCE      ,,03/25/2015,39.34185635438831,-76.5666778812784
131481,9,230,3972O,045 ,3812 DELVERNE ROAD               ,20X99-3          ,$2834.73,$141.23,PRINCIPAL RESIDENCE      ,,03/25/2015,39.3344972587426,-76.59821919366004
40427,7,70,1194 ,069 ,1028 N BROADWAY                  ,16X90            ,$3709.20,$184.80,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.302588807128814,-76.59468650108033
211211,26,60,6449 ,008 ,819 S BOULDIN ST                 ,13X75            ,$3989.46,$198.76,PRINCIPAL RESIDENCE      ,,03/25/2015,39.282772629854094,-76.57046582213917
50140,8,220,1557 ,040 ,1113 N LUZERNE AVE               ,14-6X70          ,$430.11,$21.43,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.30431144591756,-76.58117462350924
150753,27,220,4471 ,006 ,5811 KEY AVE                     ,59-7X117-11      ,$3693.46,$184.02,PRINCIPAL RESIDENCE      ,,03/25/2015,39.35893239361616,-76.67952822634578
134048,9,50,4021B,035 ,768 BARTLETT AVE                 ,15-4X79          ,$112.40,$5.60,NOT A PRINCIPAL RESIDENCE,$131.86,03/25/2015,39.31535475192135,-76.60509343241517
128965,27,80,3969E,037 ,1553 NORTHWICK ROAD              ,20X116           ,$2758.30,$137.42,PRINCIPAL RESIDENCE      ,,03/25/2015,39.34352304815121,-76.58968874993508
119570,12,20,3664B,029J,318 W 30TH ST                    ,13-10X85         ,$3407.97,$169.79,PRINCIPAL RESIDENCE      ,,03/25/2015,39.32287702055913,-76.62347252363725
23979,11,20,0510 ,002 ,912 - 916 CATHEDRAL ST           ,0.029 ACRES      ,$2173.82,$108.30,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.29058294954456,-76.60925984306652
113874,13,30,3518B,032 ,3605 ASH ST                      ,30X63-11         ,$2520.01,$125.55,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.33008110186245,-76.64009750609421
144919,27,230,4218E,026 ,3706 KINGWOOD SQ                 ,43-7X93-8        ,$3075.26,$153.22,PRINCIPAL RESIDENCE      ,,03/25/2015,39.36497445101122,-76.70747857097848
12245,18,70,0234 ,037 ,1136 W LOMBARD ST                ,12-4X47-9        ,$2248.00,$112.00,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.28665847451009,-76.63620233726726
83327,15,380,2322 ,043 ,2215 BAKER ST                    ,14X100           ,$1034.08,$51.52,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.3063732514255,-76.65335996299109
212691,26,30,6552 ,035 ,515 S MACON ST                   ,14X70            ,$2331.18,$116.14,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.28639273563732,-76.5572255110477
12232,18,70,0234 ,024 ,45 S CARROLLTON AVE              ,14X80            ,$517.04,$25.76,PRINCIPAL RESIDENCE      ,$7.78,03/25/2015,39.28707223459702,-76.6366254215252
89779,25,10,2500C,006 ,3412 WILKENS AVE                 ,16X85-1          ,$2441.33,$121.63,PRINCIPAL RESIDENCE      ,,03/25/2015,39.272837733775475,-76.67445937839682
50817,8,220,1574 ,043 ,2632 BERYL AVE                   ,13-8X100         ,$427.12,$21.28,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.30312844352392,-76.5802014140632
9050,18,120,0172 ,041 ,237 N SCHROEDER ST               ,12X70            ,,,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.29185319427057,-76.63391006699521
112691,13,100,3457 ,023 ,2427 - 2429 LAKEVIEW AVE         ,50X125-4         ,$12668.22,$631.16,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.29058294954456,-76.60925984306652
132387,9,210,3986H,019 ,3701 EDNOR ROAD                  ,38-7X100-2       ,$3727.18,$185.70,PRINCIPAL RESIDENCE      ,,03/25/2015,39.33314059276523,-76.59922503770451
192243,27,20,5832B,032 ,5200 PEMBROKE AVE                ,50X116-3         ,$3558.58,$177.30,PRINCIPAL RESIDENCE      ,,03/25/2015,39.34177360237095,-76.55684904764462
15931,20,100,0289 ,025 ,401 S SMALLWOOD ST               ,16X79-6          ,$562.00,$28.00,NOT A PRINCIPAL RESIDENCE,$659.12,03/25/2015,39.2828122575807,-76.65112566032019
162273,27,140,4935 ,004 ,401 WOODLAWN ROAD                ,235X223-6        ,$16718.38,$832.94,PRINCIPAL RESIDENCE      ,,03/25/2015,39.35021779751446,-76.63332932978392
184519,27,40,5551 ,001F,3013 WOODHOME AVE                ,50X176-2         ,$3014.57,$150.19,PRINCIPAL RESIDENCE      ,,03/25/2015,39.36599428131211,-76.54783025136419
81015,20,180,2275E,045 ,102 N KOSSUTH ST                 ,19-7X88-10       ,$2135.60,$106.40,PRINCIPAL RESIDENCE      ,,03/25/2015,39.28851514825658,-76.67355610023304
66303,1,130,1843A,065 ,641 S DECKER AVE                 ,12X68-6          ,$4828.70,$240.58,PRINCIPAL RESIDENCE      ,,03/25/2015,39.28457335857473,-76.57350549917862
237279,28,30,8379 ,009 ,2903 N ROGERS AVE                ,50X125           ,$3360.76,$167.44,PRINCIPAL RESIDENCE      ,,03/25/2015,39.32620225033469,-76.70670816135174
229204,25,30,7885 ,006 ,2142 WICOMICO ST                 ,21-2X100         ,$332.70,$16.58,NOT A PRINCIPAL RESIDENCE,$401.21,03/25/2015,39.268508990998214,-76.64329685956164
161713,27,160,4912 ,087 ,1040 DEER RIDGE DR U# 507        ,1559 S.F.        ,$3147.20,$156.80,PRINCIPAL RESIDENCE      ,,03/25/2015,39.34353703440769,-76.63975950579578
185871,27,40,5603G,010 ,3511 - 3535 E NORTHERN PKWY      ,6.625 ACRES      ,$75799.57,$3776.49,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.364531540299424,-76.60470957478623
1329,15,80,0021 ,096 ,1552 N BRUCE ST                  ,12X62            ,$22.48,$1.12,NOT A PRINCIPAL RESIDENCE,$26.36,03/25/2015,39.30635926516902,-76.64552650014707
171337,27,410,5190 ,054 ,4412 CRADDOCK AVE                ,43-9X112         ,$2113.12,$105.28,PRINCIPAL RESIDENCE      ,,03/25/2015,39.34424567140172,-76.60182531408617
12581,20,100,0241 ,009 ,2017 FREDERICK AVE               ,18X70            ,$337.20,$16.80,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.285983638535185,-76.64920138633408
122532,12,180,3732 ,162 ,3601 GREENWAY U# P 1054          ,167 SQ FT        ,$53.95,$2.69,NOT A PRINCIPAL RESIDENCE,$74.31,03/25/2015,39.33193894113032,-76.61566004017789
77760,20,60,2175 ,013 ,2525 HOLLINS ST                  ,13-10X75         ,$382.16,$19.04,PRINCIPAL RESIDENCE      ,,03/25/2015,39.286682950458896,-76.65711876581759
51368,7,20,1590 ,033 ,2326 E EAGER ST                  ,12X90            ,$157.36,$7.84,NOT A PRINCIPAL RESIDENCE,$195.59,03/25/2015,39.30180790870912,-76.584121058839
126295,12,200,3875 ,047 ,3136 ABELL AVE                   ,14-5X100         ,$3608.04,$179.76,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.32680832054865,-76.61210636911284
232279,28,50,8102K,042 ,4528 MANORVIEW ROAD              ,27-9X115         ,$2126.61,$105.95,PRINCIPAL RESIDENCE      ,,03/25/2015,39.28638108042361,-76.69213449471039
183156,27,350,5482A,025 ,2711 KILDAIRE DR                 ,40X130           ,$4048.65,$201.71,PRINCIPAL RESIDENCE      ,,03/25/2015,39.36720409159665,-76.55637001836084
32056,23,30,0932 ,016 ,1034 S HANOVER ST                ,15-2X90          ,$1850.10,$92.18,NOT A PRINCIPAL RESIDENCE,$2180.81,03/25/2015,39.276848289218265,-76.61557612353846
38227,9,80,1142B,035 ,744 E PRESTON ST                 ,18X100           ,$337.20,$16.80,NOT A PRINCIPAL RESIDENCE,$395.46,03/25/2015,39.3049081928599,-76.6067321545645
228982,25,20,7863 ,080O,2030 DEERING AVE                 ,26-1X145         ,$2866.20,$142.80,PRINCIPAL RESIDENCE      ,,03/25/2015,39.26227695361962,-76.65275855396328
39326,10,10,1162 ,073 ,1228 N SPRING ST                 ,16X52            ,$479.57,$23.89,PRINCIPAL RESIDENCE      ,,03/25/2015,39.30492800672323,-76.59883575356639
118190,12,40,3630A,085 ,2657 - 2659 MILES AVE            ,26X60            ,,,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.29058294954456,-76.60925984306652
76483,20,80,2138 ,049 ,2695 DULANY ST                   ,13X67-5          ,$364.18,$18.14,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.2792236199752,-76.65880061225766
66098,1,130,1841 ,050 ,607 S BELNORD AVE                ,12X60            ,$4487.01,$223.55,PRINCIPAL RESIDENCE      ,,03/25/2015,39.28497313240524,-76.5778051039216
198347,26,220,6042A,062 ,5530 PLAINFIELD AVE              ,65X100           ,$2360.40,$117.60,PRINCIPAL RESIDENCE      ,,03/25/2015,39.33737492831136,-76.54265650559245
78088,20,60,2178 ,036 ,332 S FRANKLINTOWN ROAD          ,30-6X203         ,,,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.28303137559857,-76.65750455339162
112128,13,110,3442 ,011 ,2008 MOUNT ROYAL TERR            ,26X178-3         ,$6448.77,$321.29,PRINCIPAL RESIDENCE      ,,03/25/2015,39.31220668139434,-76.62657513883079
133842,9,70,4017 ,018 ,734 E 20TH ST                    ,14-10X90         ,$22.48,$1.12,NOT A PRINCIPAL RESIDENCE,$37.37,03/25/2015,39.312648413994225,-76.6073323971716
166301,27,550,5121 ,001 ,6213 YORK ROAD                   ,50X137-3         ,$4585.92,$228.48,PRINCIPAL RESIDENCE      ,,03/25/2015,39.368810178248225,-76.60979514203137
142567,26,360,4179K,010 ,3619 ELMLEY AVE                  ,20X100           ,$2115.37,$105.39,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.3173035018562,-76.56833758191306
166420,27,550,5125 ,004 ,706 CEDARCROFT ROAD              ,50X154-5         ,$3659.74,$182.34,PRINCIPAL RESIDENCE      ,,03/25/2015,39.36808755589709,-76.60662376107689
3652,16,160,0065 ,049 ,1201 SMITHSON ST                 ,30X44            ,,,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.30055264309112,-76.63779909974784
69024,1,110,1879 ,006 ,927 S LINWOOD AVE                ,13X70            ,$5008.54,$249.54,PRINCIPAL RESIDENCE      ,,03/25/2015,39.28149288828723,-76.57546473880586
141335,8,260,4178G,044 ,3342 ELMORA AVE                  ,16-6X79          ,$2299.70,$114.58,PRINCIPAL RESIDENCE      ,,03/25/2015,39.315917697844554,-76.57589131962789
82496,15,360,2302 ,024 ,1710 N SMALLWOOD ST              ,13-8X105         ,$674.40,$33.60,NOT A PRINCIPAL RESIDENCE,$801.99,03/25/2015,39.307997987318345,-76.65262568452692
184663,27,40,5555 ,026 ,3411 CHESLEY AVE                 ,68X239-7         ,$2970.35,$147.99,PRINCIPAL RESIDENCE      ,,03/25/2015,39.362044332980645,-76.53991986410966
229838,28,50,7955B,001 ,4700 EDMONDSON AVE               ,50X200-8         ,$3430.45,$170.91,PRINCIPAL RESIDENCE      ,$1747.90,03/25/2015,39.29303736758152,-76.69825464203728
64504,3,60,1799A,141B,675 PRESIDENT ST U# P616         ,143 SQ FT        ,$179.84,$8.96,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.28334493771979,-76.60140238720959
16037,19,100,0291 ,058 ,1822 WILKENS AVE                 ,12-9X57-4        ,$809.28,$40.32,NOT A PRINCIPAL RESIDENCE,$960.15,03/25/2015,39.282447449391384,-76.6454996931555
17346,14,40,0315 ,021 ,435 BLOOM ST                     ,16X74-6          ,$900.71,$44.88,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.30855743667746,-76.63587249471908
4955,16,130,0089 ,046 ,834 N CAREY ST                   ,15X96-1          ,$67.44,$3.36,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.298728603943005,-76.63873617893069
217550,25,60,7068B,072 ,3523 3RD ST                      ,16X86-3          ,$1578.10,$78.62,PRINCIPAL RESIDENCE      ,,03/25/2015,39.23916585012495,-76.60626011840895
52074,7,130,1604 ,073 ,801 N CASTLE ST                  ,12X60            ,,,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.29980321374842,-76.58872486465998
227180,25,20,7755 ,054A,2807 GEORGETOWN ROAD             ,0.412 ACRES      ,$3007.82,$149.86,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.26542152758253,-76.66007569083968
54493,7,120,1651 ,008 ,515 N CASTLE ST                  ,13X75            ,$229.30,$11.42,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.29681248770726,-76.58854537436872
226368,25,10,7654E,016 ,SES HINELINE RD 395 FT           ,25X110           ,$60.70,$3.02,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.29058294954456,-76.60925984306652
180573,27,270,5391A,020 ,5315 ELSRODE AVE                 ,50X125           ,$2774.03,$138.21,PRINCIPAL RESIDENCE      ,,03/25/2015,39.35290898366378,-76.56512890427473
98050,15,210,2951A,031 ,3607 FERNHILL AVE                ,35X90            ,$3293.32,$164.08,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.336994969243506,-76.67751653825684
121862,27,630,3705 ,012 ,4203 SAINT PAUL ST               ,97X225-7         ,$15387.56,$766.64,PRINCIPAL RESIDENCE      ,,03/25/2015,39.34061390950541,-76.61740249372929
108499,15,330,3342A,027 ,2427 SHIRLEY AVE                 ,18X119-8         ,$337.20,$16.80,PRINCIPAL RESIDENCE      ,,03/25/2015,39.33611383508651,-76.65774348527282
52843,7,130,1621 ,054 ,2110 E MONUMENT ST               ,14X90            ,$2018.70,$100.58,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.29866799683168,-76.58731108813538
4623,16,50,0083 ,074 ,808 N MONROE ST                  ,14X90            ,$269.76,$13.44,NOT A PRINCIPAL RESIDENCE,$327.39,03/25/2015,39.29806076019702,-76.64749622946664
125385,12,160,3851 ,011 ,2924 SAINT PAUL ST               ,17-6X184-4       ,$3036.31,$151.28,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.3239481338004,-76.61581622004172
190761,27,20,5774D,002 ,5302 CARTER AVE                  ,50X150           ,$3144.21,$156.65,PRINCIPAL RESIDENCE      ,,03/25/2015,39.347188610167336,-76.55862646593783
108297,15,320,3340 ,015 ,3829 COTTAGE AVE                 ,19X100           ,$674.40,$33.60,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.333489083655365,-76.66003489759163
187880,27,30,5680 ,007 ,3101 GLENMORE AVE                ,71-6X159-6       ,$3599.05,$179.31,PRINCIPAL RESIDENCE      ,$1834.03,03/25/2015,39.35573420567016,-76.55452849639221
149752,27,230,4421 ,004 ,4022 MORTIMER AVE                ,30X125           ,$2790.51,$139.03,PRINCIPAL RESIDENCE      ,,03/25/2015,39.34974343031615,-76.69178017621334
5072,16,80,0094 ,017 ,2012 HARLEM AVE                  ,13-9X76          ,$269.76,$13.44,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.29632763171594,-76.64954171767533
110508,15,170,3402 ,010 ,2718 PENNSYLVANIA AVE            ,13X75            ,$1159.97,$57.79,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.31278711013812,-76.64579923214802
71953,24,130,1925A,015 ,1267 RIVERSIDE AVE               ,12-3X75          ,$6325.87,$315.17,PRINCIPAL RESIDENCE      ,,03/25/2015,39.274475290403416,-76.60855619371256
137484,9,140,4114I,065 ,2536 CECIL AVE                   ,14-4X100         ,$539.52,$26.88,PRINCIPAL RESIDENCE      ,,03/25/2015,39.31948185950131,-76.59953273534666
9961,18,110,0188 ,053 ,810 W FAYETTE ST                 ,14X72            ,$674.40,$33.60,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.290038483790056,-76.62998195510232
218192,25,60,7093 ,030 ,3712 6TH ST                      ,45X100           ,$1800.65,$89.71,PRINCIPAL RESIDENCE      ,,03/25/2015,39.23485575568964,-76.6030992271468
237997,28,40,8472 ,017 ,4523 FAIRFAX ROAD                ,36-5X115         ,$2630.90,$131.08,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.31822659388331,-76.69167411466788
92892,25,10,2530C,534 ,4381 PARKTON ST                  ,24-7X98-10       ,$2886.43,$143.81,PRINCIPAL RESIDENCE      ,,03/25/2015,39.27732265641657,-76.68987105400515
11663,20,70,0221 ,009 ,125 MCPHAIL ST                   ,12X90            ,,,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.286244714423106,-76.65269095372372
190900,27,20,5783 ,001O,5429 PEMBROKE AVE                ,40X125           ,$3195.91,$159.23,PRINCIPAL RESIDENCE      ,,03/25/2015,39.3450370595138,-76.55267182264572
199194,26,200,6043 ,114 ,5421 RADECKE AVE                 ,30X100           ,$2290.71,$114.13,PRINCIPAL RESIDENCE      ,,03/25/2015,39.329373631289116,-76.5400667198025
59215,6,140,1726 ,090 ,9 N ROSE ST                      ,12X73            ,$2463.81,$122.75,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.292502394171265,-76.58117462350924
41188,5,20,1288 ,061 ,575 OLDTOWN MALL                 ,14X66            ,$485.57,$24.19,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.29058294954456,-76.60925984306652
151813,27,210,4511F,002 ,5403 PRICE AVE                   ,18X89-4          ,$1578.10,$78.62,PRINCIPAL RESIDENCE      ,,03/25/2015,39.34763383843199,-76.68698172922262
68732,2,60,1874A,256 ,1000 FELL ST U# P83              ,153 SQ FT        ,$170.85,$8.51,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.28041711296049,-76.5892493483779
193818,27,10,5887 ,001 ,3106 MONTEBELLO TERR             ,50X145-3         ,$5098.46,$254.02,PRINCIPAL RESIDENCE      ,,03/25/2015,39.33812668869683,-76.56962781317225
96647,15,250,2852 ,025 ,4017 DUVALL AVE                  ,35X135           ,$2603.18,$129.70,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.318503987969734,-76.68662974176834
115456,13,160,3550 ,004A,1312 DELLWOOD AVE                ,12X94            ,$2915.66,$145.26,PRINCIPAL RESIDENCE      ,,03/25/2015,39.333437800715046,-76.63807649383432
44259,8,30,1449 ,029 ,1822 N CASTLE ST                 ,14-5X100         ,$22.48,$1.12,NOT A PRINCIPAL RESIDENCE,$37.37,03/25/2015,39.31160760430856,-76.5894358317974
33958,23,60,0992 ,070 ,1401 CLARKSON ST                 ,12X84            ,$5071.49,$252.67,PRINCIPAL RESIDENCE      ,,03/25/2015,39.27327247324712,-76.61614489706852
57934,6,150,1710 ,107 ,123 N GLOVER ST                  ,12X70            ,$2315.44,$115.36,PRINCIPAL RESIDENCE      ,,03/25/2015,39.293892859369066,-76.57981562648916
113518,13,120,3504E,005 ,808 DARBY STREET SOUTH           ,16-2X77-9        ,$3097.74,$154.34,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.32375815381681,-76.63054490102559
23321,11,20,0505 ,037 ,1025 CATHEDRAL ST                ,15-4X160         ,$4185.03,$208.51,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.30164123915296,-76.617788280404
173473,27,430,5213 ,034 ,524 RICHWOOD AVE                 ,20X88            ,$2747.06,$136.86,PRINCIPAL RESIDENCE      ,,03/25/2015,39.34692753338004,-76.60833707569469
125430,12,160,3852 ,026 ,2933 SAINT PAUL ST               ,16X123           ,$5823.06,$290.12,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.32411247231386,-76.6157556129304
19062,14,140,0366 ,032 ,301 MCMECHEN ST U# 29            ,3773.6 SQFT      ,,,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.30640705154531,-76.62864277194558
221102,25,60,7245C,029 ,3828 WEST BAY AVE                ,50X100           ,,,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.23102352501678,-76.59553150317555
106827,15,190,3268 ,008 ,2332 N MONROE ST                 ,15X90            ,$2072.66,$103.26,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.314777819741664,-76.64961048343628
101730,15,240,3100M,015 ,4009 HILTON ROAD                 ,22X114-7         ,$3297.82,$164.30,PRINCIPAL RESIDENCE      ,,03/25/2015,39.331743133539874,-76.66760378708432
149738,28,10,4420 ,022 ,4124 W ROGERS AVE                ,0.056 ACRES      ,$2023.20,$100.80,PRINCIPAL RESIDENCE      ,,03/25/2015,39.346693263584314,-76.6912195613329
227437,25,20,7761 ,003 ,1704 WICKES AVE                  ,16X120           ,$2643.65,$131.71,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.26520707165014,-76.65710827612526
182214,27,380,5451 ,038 ,6606 MARIETTA AVE                ,50X125           ,$4259.96,$212.24,PRINCIPAL RESIDENCE      ,,03/25/2015,39.36432758754921,-76.56061834016344
25381,4,20,0579 ,019 ,128 - 130 W PLEASANT ST          ,27X40            ,$1303.84,$64.96,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.30530110666183,-76.7113977984688
1332,15,80,0021 ,099 ,1546 N BRUCE ST                  ,12X62            ,$22.48,$1.12,NOT A PRINCIPAL RESIDENCE,$37.37,03/25/2015,39.30625903123041,-76.64552650014707
146816,27,230,4293 ,125 ,3709 BARTWOOD ROAD               ,29-7X99-6        ,$2319.94,$115.58,PRINCIPAL RESIDENCE      ,,03/25/2015,39.35921677993156,-76.70017192379447
205157,26,200,6190 ,473 ,1101 - 1201 HORNERS LANE U# CO-OP,741 SF IMP. ONLY ,,,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.29058294954456,-76.60925984306652
100385,15,270,3061B,026 ,2629 N HILTON ST                 ,20X94            ,$2007.46,$100.02,NOT A PRINCIPAL RESIDENCE,$2365.39,03/25/2015,39.317282522471544,-76.67279501477731
34744,23,80,1012 ,049 ,1623 RACE ST                     ,12X70            ,$2897.67,$144.37,PRINCIPAL RESIDENCE      ,,03/25/2015,39.27078408691716,-76.6166449048377
79140,20,20,2216 ,035 ,505 N LONGWOOD ST                ,14X73            ,$523.78,$26.10,NOT A PRINCIPAL RESIDENCE,$614.32,03/25/2015,39.29323667173611,-76.66556645752519
195215,26,380,5918 ,012 ,3322 RAMONA AVE                  ,17-8X90          ,$2115.37,$105.39,PRINCIPAL RESIDENCE      ,,03/25/2015,39.32327446244756,-76.56369298374341
220375,25,80,7201 ,006A,1514 CYPRESS ST                  ,20X100           ,$1686.00,$84.00,PRINCIPAL RESIDENCE      ,,03/25/2015,39.223728533046426,-76.58893232746414
85884,16,220,2391 ,054 ,2727 ELLICOTT DR                 ,19X70            ,$1528.64,$76.16,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.30248274468403,-76.66293005088033
56360,6,10,1677 ,039 ,406 N CURLEY ST                  ,12-6X65          ,$1524.89,$75.97,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.29630898337399,-76.57579574687543
222236,25,50,7437A,001 ,2223 ANNAPOLIS ROAD              ,13X87            ,$2472.80,$123.20,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.26370355087926,-76.6335321305026
174189,27,580,5237 ,432 ,6013 FALKIRK ROAD                ,19X120           ,$2376.14,$118.38,PRINCIPAL RESIDENCE      ,,03/25/2015,39.3649662923616,-76.58746959904198
213510,26,20,6577 ,001 ,1200 - 1300 PONCA ST             ,3.614 ACRES      ,$25392.67,$1265.12,NOT A PRINCIPAL RESIDENCE,,03/25/2015,48.23899995200048,16.37469991800043
30780,22,10,0876 ,014 ,10 E LEE ST U# 902               ,2551 SQ FT       ,$8092.80,$403.20,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.28218753812547,-76.61423111277486
74198,24,100,2019B,040 ,1427 E CLEMENT ST                ,12X60            ,$3945.24,$196.56,PRINCIPAL RESIDENCE      ,,03/25/2015,39.270493872095585,-76.59348951153095
79122,20,20,2216 ,012 ,WS POPLAR GROVE ST               ,0.019 ACRES      ,,,NOT A PRINCIPAL RESIDENCE,,03/25/2015,,
177832,27,290,5288D,236 ,2218 WESTFIELD AVE               ,31-8X105         ,$2490.78,$124.10,PRINCIPAL RESIDENCE      ,,03/25/2015,39.3645781737448,-76.56928981197444
125350,12,160,3849 ,046 ,2801 SAINT PAUL ST               ,20X123           ,$7602.74,$378.78,PRINCIPAL RESIDENCE      ,,03/25/2015,39.322092625575294,-76.61562507453675
106680,15,190,3264 ,070 ,NWS 18 FT ALLEY                  ,9-8X18-4         ,$24.73,$1.23,NOT A PRINCIPAL RESIDENCE,$28.96,03/25/2015,39.27262269328378,-76.6151301848094
127137,9,10,3913A,046 ,820 DUMBARTON AVE                ,19-4X82          ,$2274.23,$113.31,NOT A PRINCIPAL RESIDENCE,$139.83,03/25/2015,39.338258392611806,-76.60352114588335
24943,11,100,0550 ,015H,512 CATHEDRAL ST U# P-2          ,168 S.F.         ,$82.43,$4.11,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.29593834757776,-76.61695609904393
20621,17,20,0412 ,068 ,SWS SHIELDS PL 131-5 FT          ,48X44            ,,,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.29058294954456,-76.60925984306652
182686,27,360,5470A,005 ,7512 HARFORD ROAD                ,15-4X100-9       ,$3264.10,$162.62,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.371441923706925,-76.5449036289985
72648,24,70,1936 ,068 ,1500 BELT ST                     ,14X83            ,$7285.77,$362.99,PRINCIPAL RESIDENCE      ,,03/25/2015,39.2726687331766,-76.60589647664028
214709,26,10,6739 ,013 ,6726 BOSTON AVE                  ,25X125           ,$2292.96,$114.24,PRINCIPAL RESIDENCE      ,,03/25/2015,39.27968749748112,-76.53224840873628
69756,1,100,1893 ,046 ,3132 ELLIOTT ST                  ,12X70            ,$3050.54,$151.98,PRINCIPAL RESIDENCE      ,,03/25/2015,39.279348330761934,-76.57142154876465
187906,27,30,5681 ,004 ,3021 GLENMORE AVE                ,60X168-10        ,$4203.76,$209.44,PRINCIPAL RESIDENCE      ,,03/25/2015,39.35602325497035,-76.55559727859071
135796,9,40,4070A,043 ,529 E 27TH ST                    ,14X80            ,$449.60,$22.40,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.32085367725648,-76.6081109654479
125850,12,190,3864 ,010 ,3204 N CALVERT ST                ,25X115           ,$4422.56,$220.34,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.32746800564502,-76.61488613488643
112390,13,110,3446 ,087 ,701 NEWINGTON AVE                ,0.0596 ACRES     ,$3095.50,$154.22,PRINCIPAL RESIDENCE      ,,03/25/2015,39.31364376834631,-76.62972204383647
141882,26,350,4179C,187 ,3562 ELMORA AVE                  ,19X100           ,$1971.50,$98.22,PRINCIPAL RESIDENCE      ,,03/25/2015,39.31571839458934,-76.56997863510514
183520,27,340,5492 ,021 ,2825 FLEETWOOD AVE               ,37-6X140         ,$2526.75,$125.89,PRINCIPAL RESIDENCE      ,,03/25/2015,39.363541359747046,-76.55622510700226
77891,20,60,2176 ,042 ,2567 W LOMBARD ST                ,13-9X70          ,$382.16,$19.04,PRINCIPAL RESIDENCE      ,,03/25/2015,39.28567360985028,-76.657769126743
195632,26,400,5926 ,038 ,4227 SHAMROCK AVE                ,20X80-7          ,$2155.83,$107.41,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.327586887925634,-76.56461840681322
178414,27,70,5347 ,020 ,4511 MAINFIELD AVE               ,50X251-11        ,$4136.32,$206.08,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.34453355428121,-76.57577709853348
6684,20,10,0120 ,071 ,1810 W FRANKLIN ST               ,13X74            ,$269.76,$13.44,NOT A PRINCIPAL RESIDENCE,$327.39,03/25/2015,39.29389752145454,-76.64635285390028
